"TIME","GEO","INDIC_HE","SEX","Value"
"2012","Italy","Health expectancy in absolute values at 65","Males","13.3"
"2012","Italy","Health expectancy in absolute values at 65","Females","14.0"
"2012","Cyprus","Health expectancy in absolute values at birth ","Males","73.5"
"2012","Cyprus","Health expectancy in absolute values at birth ","Females","75.8"
"2012","Cyprus","Health expectancy in absolute values at 50","Males","26.1"
"2012","Cyprus","Health expectancy in absolute values at 50","Females","27.2"
"2012","Cyprus","Health expectancy in absolute values at 65","Males","13.9"
"2012","Cyprus","Health expectancy in absolute values at 65","Females","14.1"
"2012","Latvia","Health expectancy in absolute values at birth ","Males","61.9"
"2012","Latvia","Health expectancy in absolute values at birth ","Females","68.6"
"2012","Latvia","Health expectancy in absolute values at 50","Males","17.5"
"2012","Latvia","Health expectancy in absolute values at 50","Females","21.7"
"2012","Latvia","Health expectancy in absolute values at 65","Males","8.7"
"2012","Latvia","Health expectancy in absolute values at 65","Females","10.8"
"2012","Lithuania","Health expectancy in absolute values at birth ","Males","60.3"
"2012","Lithuania","Health expectancy in absolute values at birth ","Females","65.3"
"2012","Lithuania","Health expectancy in absolute values at 50","Males","16.2"
"2012","Lithuania","Health expectancy in absolute values at 50","Females","18.2"
"2012","Lithuania","Health expectancy in absolute values at 65","Males","8.0"
"2012","Lithuania","Health expectancy in absolute values at 65","Females","7.6"
"2012","Luxembourg","Health expectancy in absolute values at birth ","Males","74.0"
"2012","Luxembourg","Health expectancy in absolute values at birth ","Females","77.0"
"2012","Luxembourg","Health expectancy in absolute values at 50","Males","26.3"
"2012","Luxembourg","Health expectancy in absolute values at 50","Females","29.1"
"2012","Luxembourg","Health expectancy in absolute values at 65","Males","15.1"
"2012","Luxembourg","Health expectancy in absolute values at 65","Females","17.4"
"2012","Hungary","Health expectancy in absolute values at birth ","Males","64.0"
"2012","Hungary","Health expectancy in absolute values at birth ","Females","67.1"
"2012","Hungary","Health expectancy in absolute values at 50","Males","17.7"
"2012","Hungary","Health expectancy in absolute values at 50","Females","20.0"
"2012","Hungary","Health expectancy in absolute values at 65","Males","9.2"
"2012","Hungary","Health expectancy in absolute values at 65","Females","9.8"
"2012","Malta","Health expectancy in absolute values at birth ","Males","76.4"
"2012","Malta","Health expectancy in absolute values at birth ","Females","79.1"
"2012","Malta","Health expectancy in absolute values at 50","Males","28.4"
"2012","Malta","Health expectancy in absolute values at 50","Females","30.9"
"2012","Malta","Health expectancy in absolute values at 65","Males","15.9"
"2012","Malta","Health expectancy in absolute values at 65","Females","17.8"
"2012","Netherlands","Health expectancy in absolute values at birth ","Males","76.1"
"2012","Netherlands","Health expectancy in absolute values at birth ","Females","78.5"
"2012","Netherlands","Health expectancy in absolute values at 50","Males","28.3"
"2012","Netherlands","Health expectancy in absolute values at 50","Females","30.9"
"2012","Netherlands","Health expectancy in absolute values at 65","Males","16.3"
"2012","Netherlands","Health expectancy in absolute values at 65","Females","18.7"
"2012","Austria","Health expectancy in absolute values at birth ","Males","72.6"
"2012","Austria","Health expectancy in absolute values at birth ","Females","76.1"
"2012","Austria","Health expectancy in absolute values at 50","Males","25.5"
"2012","Austria","Health expectancy in absolute values at 50","Females","28.6"
"2012","Austria","Health expectancy in absolute values at 65","Males","14.5"
"2012","Austria","Health expectancy in absolute values at 65","Females","16.5"
"2012","Poland","Health expectancy in absolute values at birth ","Males","64.3"
"2012","Poland","Health expectancy in absolute values at birth ","Females","69.3"
"2012","Poland","Health expectancy in absolute values at 50","Males","18.5"
"2012","Poland","Health expectancy in absolute values at 50","Females","21.7"
"2012","Poland","Health expectancy in absolute values at 65","Males","9.3"
"2012","Poland","Health expectancy in absolute values at 65","Females","10.7"
"2012","Portugal","Health expectancy in absolute values at birth ","Males","67.9"
"2012","Portugal","Health expectancy in absolute values at birth ","Females","68.4"
"2012","Portugal","Health expectancy in absolute values at 50","Males","21.4"
"2012","Portugal","Health expectancy in absolute values at 50","Females","21.0"
"2012","Portugal","Health expectancy in absolute values at 65","Males","11.0"
"2012","Portugal","Health expectancy in absolute values at 65","Females","10.5"
"2012","Romania","Health expectancy in absolute values at birth ","Males","66.2"
"2012","Romania","Health expectancy in absolute values at birth ","Females","70.1"
"2012","Romania","Health expectancy in absolute values at 50","Males","20.8"
"2012","Romania","Health expectancy in absolute values at 50","Females","22.8"
"2012","Romania","Health expectancy in absolute values at 65","Males","11.0"
"2012","Romania","Health expectancy in absolute values at 65","Females","11.7"
"2012","Slovenia","Health expectancy in absolute values at birth ","Males","69.3"
"2012","Slovenia","Health expectancy in absolute values at birth ","Females","72.5"
"2012","Slovenia","Health expectancy in absolute values at 50","Males","22.5"
"2012","Slovenia","Health expectancy in absolute values at 50","Females","24.9"
"2012","Slovenia","Health expectancy in absolute values at 65","Males","12.1"
"2012","Slovenia","Health expectancy in absolute values at 65","Females","13.3"
"2012","Slovakia","Health expectancy in absolute values at birth ","Males","65.1"
"2012","Slovakia","Health expectancy in absolute values at birth ","Females","68.7"
"2012","Slovakia","Health expectancy in absolute values at 50","Males","18.7"
"2012","Slovakia","Health expectancy in absolute values at 50","Females","21.1"
"2012","Slovakia","Health expectancy in absolute values at 65","Males","9.0"
"2012","Slovakia","Health expectancy in absolute values at 65","Females","9.8"
"2012","Finland","Health expectancy in absolute values at birth ","Males","73.6"
"2012","Finland","Health expectancy in absolute values at birth ","Females","78.6"
"2012","Finland","Health expectancy in absolute values at 50","Males","26.4"
"2012","Finland","Health expectancy in absolute values at 50","Females","30.6"
"2012","Finland","Health expectancy in absolute values at 65","Males","15.3"
"2012","Finland","Health expectancy in absolute values at 65","Females","18.1"
"2012","Sweden","Health expectancy in absolute values at birth ","Males","77.1"
"2012","Sweden","Health expectancy in absolute values at birth ","Females","80.1"
"2012","Sweden","Health expectancy in absolute values at 50","Males","29.5"
"2012","Sweden","Health expectancy in absolute values at 50","Females","32.2"
"2012","Sweden","Health expectancy in absolute values at 65","Males","16.9"
"2012","Sweden","Health expectancy in absolute values at 65","Females","19.6"
"2012","United Kingdom","Health expectancy in absolute values at birth ","Males","73.8"
"2012","United Kingdom","Health expectancy in absolute values at birth ","Females","76.2"
"2012","United Kingdom","Health expectancy in absolute values at 50","Males","27.0"
"2012","United Kingdom","Health expectancy in absolute values at 50","Females","29.2"
"2012","United Kingdom","Health expectancy in absolute values at 65","Males","15.5"
"2012","United Kingdom","Health expectancy in absolute values at 65","Females","17.4"
"2012","Iceland","Health expectancy in absolute values at birth ","Males","78.4"
"2012","Iceland","Health expectancy in absolute values at birth ","Females","78.8"
"2012","Iceland","Health expectancy in absolute values at 50","Males","31.3"
"2012","Iceland","Health expectancy in absolute values at 50","Females","30.6"
"2012","Iceland","Health expectancy in absolute values at 65","Males","18.9"
"2012","Iceland","Health expectancy in absolute values at 65","Females","18.4"
"2012","Norway","Health expectancy in absolute values at birth ","Males","75.3"
"2012","Norway","Health expectancy in absolute values at birth ","Females","78.6"
"2012","Norway","Health expectancy in absolute values at 50","Males","28.4"
"2012","Norway","Health expectancy in absolute values at 50","Females","31.6"
"2012","Norway","Health expectancy in absolute values at 65","Males","16.3"
"2012","Norway","Health expectancy in absolute values at 65","Females","19.2"
"2012","Switzerland","Health expectancy in absolute values at birth ","Males","78.6"
"2012","Switzerland","Health expectancy in absolute values at birth ","Females","82.3"
"2012","Switzerland","Health expectancy in absolute values at 50","Males","30.7"
"2012","Switzerland","Health expectancy in absolute values at 50","Females","33.9"
"2012","Switzerland","Health expectancy in absolute values at 65","Males","18.3"
"2012","Switzerland","Health expectancy in absolute values at 65","Females","21.1"
